epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1378.7,2.51181,2.81994,2.76086,0.69652,0.66813,0.68618,0.35866,1.68788,1.54281,2.11868,0.000666289,0.000666289,0.000666289
2,2755.31,1.67151,1.25218,1.87717,0.85957,0.77449,0.84015,0.50021,1.50122,1.06813,1.8484,0.00128017,0.00128017,0.00128017
3,4213.31,1.55131,1.07782,1.74624,0.92165,0.7985,0.87797,0.5463,1.41243,0.94551,1.76052,0.00184125,0.00184125,0.00184125
4,5582.36,1.45656,0.95426,1.63642,0.92836,0.80683,0.88076,0.54555,1.42169,0.92752,1.71283,0.0017624,0.0017624,0.0017624
5,6910.08,1.42459,0.91012,1.60234,0.91254,0.83827,0.89908,0.57487,1.3273,0.84956,1.65311,0.0016832,0.0016832,0.0016832
6,8275.17,1.39269,0.85512,1.58227,0.9537,0.84146,0.91085,0.58966,1.30404,0.77477,1.62149,0.001604,0.001604,0.001604
7,9811.6,1.36193,0.81423,1.54977,0.95125,0.86196,0.9175,0.60186,1.28692,0.7399,1.60341,0.0015248,0.0015248,0.0015248
8,11476.2,1.34796,0.79715,1.53231,0.87409,0.86345,0.87062,0.5552,1.28618,0.81749,1.6085,0.0014456,0.0014456,0.0014456
9,13147.4,1.3279,0.76864,1.51109,0.9388,0.88748,0.93023,0.60476,1.28334,0.69874,1.57389,0.0013664,0.0013664,0.0013664
10,14761.6,1.31109,0.74814,1.50267,0.92224,0.8697,0.90807,0.59843,1.25754,0.71013,1.5695,0.0012872,0.0012872,0.0012872
11,16426.4,1.30707,0.74052,1.49665,0.92609,0.87973,0.91806,0.61321,1.24052,0.67994,1.54753,0.001208,0.001208,0.001208
12,17834.2,1.29419,0.71186,1.48287,0.94211,0.88656,0.91557,0.60526,1.24185,0.67023,1.55314,0.0011288,0.0011288,0.0011288
13,19350.4,1.27934,0.69652,1.46924,0.95383,0.89203,0.92873,0.62424,1.21496,0.6505,1.52322,0.0010496,0.0010496,0.0010496
14,20891.4,1.26786,0.68919,1.46489,0.958,0.89378,0.93325,0.62574,1.19951,0.61073,1.50464,0.0009704,0.0009704,0.0009704
15,22116.2,1.25645,0.67494,1.44627,0.96646,0.88838,0.93675,0.6287,1.21136,0.61054,1.51006,0.0008912,0.0008912,0.0008912
16,23379.4,1.20807,0.60055,1.49676,0.97042,0.89666,0.94109,0.63332,1.20078,0.59751,1.50334,0.000812,0.000812,0.000812
17,24632,1.19132,0.58155,1.47139,0.97356,0.90205,0.9439,0.63803,1.20697,0.58325,1.49573,0.0007328,0.0007328,0.0007328
18,25882.2,1.17826,0.56423,1.46693,0.96947,0.89749,0.94218,0.64527,1.18924,0.57113,1.47942,0.0006536,0.0006536,0.0006536
19,27129.7,1.16869,0.55306,1.45166,0.96664,0.89779,0.94083,0.6432,1.18109,0.56792,1.48566,0.0005744,0.0005744,0.0005744
20,28358.2,1.15967,0.54551,1.45014,0.97309,0.90617,0.94682,0.65341,1.171,0.5502,1.46802,0.0004952,0.0004952,0.0004952
21,29572.5,1.14761,0.53337,1.43282,0.97423,0.90478,0.94837,0.65353,1.16609,0.54297,1.46098,0.000416,0.000416,0.000416
22,30827.3,1.14142,0.52496,1.42259,0.96943,0.90979,0.94821,0.65089,1.16557,0.54338,1.46345,0.0003368,0.0003368,0.0003368
23,32074.2,1.13214,0.51243,1.42094,0.97165,0.90797,0.95021,0.65853,1.16139,0.53484,1.45426,0.0002576,0.0002576,0.0002576
24,33319.6,1.12216,0.50915,1.40839,0.97463,0.91011,0.9501,0.6604,1.15465,0.52355,1.44957,0.0001784,0.0001784,0.0001784
25,34563.4,1.11712,0.50132,1.40043,0.96045,0.9182,0.94798,0.66019,1.14757,0.52229,1.44238,9.92e-05,9.92e-05,9.92e-05
