epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1317.36,3.19815,4.21239,3.56596,0.6179,0.50172,0.52422,0.21473,2.24124,2.85986,2.75557,0.00333144,0.00333144,0.00333144
2,2572.31,1.88418,1.73429,2.1604,0.87791,0.75444,0.79669,0.44203,1.56075,1.31936,1.95634,0.0065988,0.0065988,0.0065988
3,3866.4,1.64916,1.28843,1.86023,0.89092,0.77859,0.84268,0.51501,1.45686,1.1208,1.79827,0.00980015,0.00980015,0.00980015
4,5100.5,1.54064,1.06855,1.72201,0.91322,0.80364,0.87139,0.54034,1.41125,0.99247,1.75055,0.009703,0.009703,0.009703
5,6374.71,1.47467,0.96825,1.64885,0.87077,0.80911,0.87204,0.56186,1.34498,0.93979,1.68649,0.009604,0.009604,0.009604
6,7645.36,1.43365,0.89239,1.62273,0.89739,0.82879,0.86126,0.5356,1.36948,0.88976,1.68996,0.009505,0.009505,0.009505
7,8875.79,1.38874,0.84409,1.57618,0.94676,0.83781,0.90469,0.58831,1.29687,0.79127,1.62142,0.009406,0.009406,0.009406
8,10193.7,1.37977,0.82299,1.56352,0.88681,0.86022,0.90231,0.57452,1.32873,0.76151,1.63941,0.009307,0.009307,0.009307
9,11433.3,1.35835,0.78772,1.54083,0.94029,0.86287,0.92174,0.59907,1.30077,0.67979,1.61303,0.009208,0.009208,0.009208
10,12689.8,1.35407,0.78672,1.54359,0.91209,0.88428,0.90636,0.59167,1.29011,0.70322,1.5975,0.009109,0.009109,0.009109
11,13957.7,1.34369,0.75675,1.52335,0.92755,0.86925,0.92246,0.6005,1.28581,0.68447,1.58035,0.00901,0.00901,0.00901
12,15220,1.32284,0.73545,1.50883,0.93381,0.88428,0.90757,0.58656,1.25908,0.68643,1.56721,0.008911,0.008911,0.008911
13,16480.7,1.31291,0.72351,1.50323,0.94145,0.88747,0.92046,0.59284,1.25025,0.66887,1.56085,0.008812,0.008812,0.008812
14,17728.8,1.30586,0.70703,1.49924,0.91991,0.89203,0.89366,0.58391,1.22733,0.6458,1.52557,0.008713,0.008713,0.008713
15,18949.1,1.29533,0.69481,1.47921,0.95061,0.88561,0.9264,0.61878,1.23652,0.63128,1.54562,0.008614,0.008614,0.008614
16,20202.9,1.27773,0.68079,1.46897,0.93344,0.89522,0.92105,0.61952,1.21347,0.60748,1.51451,0.008515,0.008515,0.008515
17,21465.7,1.26733,0.6726,1.4723,0.95196,0.89476,0.92865,0.61156,1.23855,0.63138,1.52776,0.008416,0.008416,0.008416
18,22733.4,1.25558,0.66585,1.44785,0.94312,0.89892,0.92219,0.61624,1.22062,0.62357,1.5228,0.008317,0.008317,0.008317
19,24001.2,1.27011,0.65176,1.45631,0.92662,0.89613,0.91754,0.61167,1.22892,0.62013,1.51931,0.008218,0.008218,0.008218
20,25265.9,1.25404,0.65549,1.44959,0.95817,0.89203,0.9367,0.62904,1.20603,0.60405,1.50423,0.008119,0.008119,0.008119
21,26539.1,1.2499,0.64254,1.44737,0.94854,0.90023,0.92667,0.62304,1.20593,0.57982,1.50025,0.00802,0.00802,0.00802
22,27793.9,1.24279,0.63009,1.4413,0.93086,0.89547,0.91671,0.61825,1.20876,0.60785,1.5008,0.007921,0.007921,0.007921
23,29058,1.24236,0.63719,1.43911,0.93583,0.89431,0.92289,0.61878,1.21354,0.59918,1.50542,0.007822,0.007822,0.007822
24,30316.7,1.22784,0.62023,1.42796,0.9504,0.90114,0.92272,0.62262,1.19971,0.57448,1.4921,0.007723,0.007723,0.007723
25,31579.1,1.22833,0.61867,1.43047,0.95393,0.90559,0.93193,0.62898,1.20177,0.55908,1.48945,0.007624,0.007624,0.007624
26,32839.5,1.23575,0.61816,1.43409,0.94607,0.90311,0.92011,0.61451,1.20993,0.58252,1.50764,0.007525,0.007525,0.007525
27,34102.1,1.22902,0.61307,1.42266,0.97534,0.89932,0.94565,0.63991,1.19209,0.55027,1.48792,0.007426,0.007426,0.007426
28,35361.7,1.21934,0.61124,1.42174,0.96074,0.90843,0.94057,0.64316,1.18395,0.53984,1.47861,0.007327,0.007327,0.007327
29,36624.7,1.21317,0.60133,1.41894,0.97249,0.90934,0.94627,0.64535,1.19073,0.539,1.47937,0.007228,0.007228,0.007228
30,37879.5,1.21038,0.59796,1.41505,0.98233,0.90205,0.94784,0.6525,1.17225,0.52008,1.46642,0.007129,0.007129,0.007129
31,39148.2,1.20964,0.59658,1.41263,0.96705,0.90934,0.94833,0.65324,1.17444,0.51887,1.46839,0.00703,0.00703,0.00703
32,40415.3,1.20811,0.59445,1.4081,0.97342,0.91778,0.95374,0.65713,1.17645,0.50986,1.46533,0.006931,0.006931,0.006931
33,41680.2,1.20531,0.59404,1.40717,0.96119,0.90706,0.94586,0.65005,1.16962,0.51355,1.45959,0.006832,0.006832,0.006832
34,42942.2,1.20134,0.58815,1.38896,0.97504,0.91071,0.95381,0.65856,1.1626,0.5116,1.46015,0.006733,0.006733,0.006733
35,44215.3,1.19199,0.58338,1.38869,0.97715,0.91567,0.95297,0.65976,1.16036,0.50539,1.45168,0.006634,0.006634,0.006634
36,45473.3,1.18639,0.58252,1.38826,0.97542,0.90411,0.949,0.65649,1.16264,0.50786,1.45105,0.006535,0.006535,0.006535
37,46753.7,1.19072,0.57631,1.38966,0.98137,0.91201,0.95616,0.66535,1.15538,0.4879,1.44712,0.006436,0.006436,0.006436
38,48015.2,1.1871,0.57217,1.39099,0.97611,0.91435,0.9526,0.65933,1.15929,0.4876,1.45557,0.006337,0.006337,0.006337
39,49281.8,1.18215,0.5782,1.38304,0.94669,0.91417,0.92979,0.63876,1.15541,0.51355,1.44414,0.006238,0.006238,0.006238
40,50545.1,1.17434,0.56354,1.37861,0.97772,0.91967,0.95557,0.65805,1.15793,0.48573,1.44839,0.006139,0.006139,0.006139
41,51821.8,1.17763,0.56777,1.37685,0.97877,0.91298,0.95337,0.65964,1.16505,0.49316,1.4512,0.00604,0.00604,0.00604
42,53091.6,1.17757,0.5669,1.37449,0.97889,0.90752,0.95459,0.65791,1.15283,0.50451,1.44186,0.005941,0.005941,0.005941
43,54375,1.18217,0.56356,1.38772,0.9744,0.91904,0.95693,0.66167,1.16337,0.47408,1.44704,0.005842,0.005842,0.005842
44,55650.6,1.16804,0.55704,1.37251,0.97589,0.9219,0.95423,0.66405,1.14563,0.48785,1.43417,0.005743,0.005743,0.005743
45,56929.5,1.17155,0.5541,1.37753,0.97859,0.92346,0.95552,0.66598,1.15236,0.47216,1.43832,0.005644,0.005644,0.005644
46,58207.3,1.16675,0.54985,1.37296,0.97443,0.92032,0.95597,0.66484,1.15381,0.47229,1.44017,0.005545,0.005545,0.005545
47,59492.4,1.17918,0.55122,1.37527,0.97408,0.92448,0.95664,0.66685,1.14365,0.46993,1.42792,0.005446,0.005446,0.005446
48,60765.9,1.17245,0.54884,1.37087,0.97197,0.93195,0.95854,0.66986,1.14906,0.46863,1.43217,0.005347,0.005347,0.005347
49,62029.5,1.15558,0.54844,1.36513,0.9753,0.92528,0.96023,0.66973,1.14687,0.46282,1.42987,0.005248,0.005248,0.005248
50,63286.3,1.15317,0.5401,1.36983,0.98534,0.91849,0.95817,0.67085,1.14008,0.46448,1.42584,0.005149,0.005149,0.005149
51,64546.7,1.15757,0.54246,1.3626,0.97797,0.93012,0.96045,0.67172,1.14112,0.45733,1.43015,0.00505,0.00505,0.00505
52,65804,1.16289,0.53564,1.37201,0.97757,0.93349,0.96024,0.6726,1.13783,0.4529,1.42503,0.004951,0.004951,0.004951
53,67063.9,1.14686,0.52948,1.35727,0.98571,0.92392,0.96071,0.67357,1.13856,0.45709,1.42334,0.004852,0.004852,0.004852
54,68318.2,1.14833,0.53328,1.35795,0.98376,0.92483,0.9608,0.671,1.13868,0.45574,1.42444,0.004753,0.004753,0.004753
55,69583.2,1.15071,0.54124,1.36122,0.9812,0.92757,0.9617,0.67478,1.13565,0.45528,1.41821,0.004654,0.004654,0.004654
56,70837.6,1.1544,0.53705,1.36793,0.98439,0.92574,0.96191,0.67434,1.13205,0.45949,1.42024,0.004555,0.004555,0.004555
57,72114.6,1.14487,0.53084,1.35814,0.98399,0.92301,0.95927,0.67497,1.13262,0.45255,1.41755,0.004456,0.004456,0.004456
58,73379.2,1.13779,0.52683,1.34871,0.98176,0.93183,0.96125,0.6737,1.13039,0.45143,1.41773,0.004357,0.004357,0.004357
59,74648.3,1.14088,0.52492,1.34992,0.97937,0.93017,0.96038,0.67437,1.13173,0.44716,1.41849,0.004258,0.004258,0.004258
60,75988.2,1.13159,0.51822,1.35115,0.9833,0.92893,0.96329,0.67642,1.12968,0.44094,1.41585,0.004159,0.004159,0.004159
61,77345.8,1.13312,0.52129,1.34385,0.98824,0.92118,0.96277,0.67636,1.12563,0.43953,1.41126,0.00406,0.00406,0.00406
62,78684.1,1.13287,0.52326,1.35157,0.97995,0.93257,0.96147,0.6755,1.12891,0.44152,1.41588,0.003961,0.003961,0.003961
63,80146.4,1.13331,0.51326,1.34702,0.98507,0.9318,0.96241,0.67794,1.12675,0.43592,1.41159,0.003862,0.003862,0.003862
64,81569.9,1.12898,0.51141,1.34335,0.98268,0.93059,0.96255,0.67896,1.12848,0.43974,1.41062,0.003763,0.003763,0.003763
65,82839.5,1.12803,0.50786,1.34007,0.9887,0.92984,0.96438,0.68185,1.12579,0.43378,1.40854,0.003664,0.003664,0.003664
66,84311.7,1.12419,0.50861,1.33979,0.98673,0.93075,0.96371,0.68069,1.12296,0.43411,1.40603,0.003565,0.003565,0.003565
67,85884.2,1.13229,0.5074,1.34157,0.9865,0.93181,0.96279,0.68101,1.12523,0.42733,1.40728,0.003466,0.003466,0.003466
68,87405.7,1.12402,0.50378,1.33228,0.98438,0.93576,0.96522,0.6825,1.12263,0.42753,1.40722,0.003367,0.003367,0.003367
69,88869.2,1.11931,0.49981,1.33,0.98604,0.93257,0.96503,0.68216,1.12439,0.42734,1.40642,0.003268,0.003268,0.003268
70,90378.1,1.11969,0.50278,1.33491,0.98413,0.93622,0.96445,0.68019,1.12231,0.42967,1.40769,0.003169,0.003169,0.003169
71,91883.9,1.12119,0.50194,1.32937,0.98508,0.93246,0.96389,0.67997,1.12222,0.42797,1.40591,0.00307,0.00307,0.00307
72,93423.9,1.11319,0.49286,1.33244,0.98455,0.93349,0.96595,0.68299,1.11963,0.42598,1.40257,0.002971,0.002971,0.002971
73,95018.2,1.10913,0.49436,1.32938,0.97969,0.93394,0.96442,0.68396,1.11432,0.42316,1.4002,0.002872,0.002872,0.002872
74,96476.4,1.11134,0.49612,1.33209,0.98409,0.93166,0.96398,0.68358,1.11283,0.42705,1.39782,0.002773,0.002773,0.002773
75,97787.6,1.11204,0.49309,1.32896,0.98457,0.93021,0.96402,0.68257,1.11304,0.42674,1.39739,0.002674,0.002674,0.002674
76,99045.8,1.11248,0.49386,1.32992,0.98511,0.93412,0.96354,0.68351,1.11381,0.42446,1.39635,0.002575,0.002575,0.002575
77,100325,1.09458,0.4816,1.31673,0.98673,0.93349,0.96438,0.68539,1.11299,0.42023,1.39565,0.002476,0.002476,0.002476
78,101593,1.09569,0.48268,1.31524,0.98759,0.9344,0.96463,0.68453,1.11794,0.42146,1.39915,0.002377,0.002377,0.002377
79,102862,1.0903,0.47695,1.31463,0.9828,0.93722,0.96566,0.68458,1.11261,0.41947,1.39463,0.002278,0.002278,0.002278
80,104128,1.10232,0.48705,1.32061,0.98301,0.93622,0.96572,0.68598,1.11084,0.41884,1.394,0.002179,0.002179,0.002179
81,105361,1.09585,0.47678,1.31803,0.97949,0.93544,0.9651,0.68611,1.10809,0.41649,1.39083,0.00208,0.00208,0.00208
82,106616,1.09271,0.47894,1.31432,0.98278,0.93582,0.96514,0.68844,1.10395,0.41484,1.38855,0.001981,0.001981,0.001981
83,107887,1.08958,0.47818,1.31015,0.98187,0.93743,0.96524,0.68857,1.1041,0.41502,1.39007,0.001882,0.001882,0.001882
84,109157,1.08466,0.47002,1.30483,0.98146,0.94037,0.96627,0.68876,1.10752,0.41675,1.39274,0.001783,0.001783,0.001783
85,110422,1.07478,0.46807,1.30174,0.98799,0.93674,0.96651,0.69078,1.10738,0.41643,1.39416,0.001684,0.001684,0.001684
86,111688,1.07171,0.46026,1.30814,0.9854,0.93576,0.96615,0.68871,1.10555,0.41745,1.39092,0.001585,0.001585,0.001585
87,112952,1.07044,0.46578,1.29825,0.98652,0.9338,0.96652,0.68858,1.10335,0.41637,1.38962,0.001486,0.001486,0.001486
88,114211,1.0654,0.46226,1.29389,0.98512,0.93475,0.96547,0.68801,1.10323,0.41654,1.38916,0.001387,0.001387,0.001387
89,115482,1.06998,0.45777,1.29623,0.98749,0.93507,0.9666,0.68757,1.10427,0.41456,1.39058,0.001288,0.001288,0.001288
90,116742,1.06749,0.4594,1.29721,0.98705,0.93531,0.96628,0.68848,1.10195,0.41257,1.38913,0.001189,0.001189,0.001189
91,118021,1.04184,0.41155,1.34197,0.98574,0.9344,0.96655,0.68753,1.10159,0.41284,1.38787,0.00109,0.00109,0.00109
92,119281,1.0444,0.40814,1.34032,0.98285,0.93667,0.96696,0.6871,1.1013,0.41455,1.38663,0.000991,0.000991,0.000991
93,120546,1.03387,0.40452,1.33158,0.97941,0.93986,0.96721,0.6892,1.09925,0.4143,1.38521,0.000892,0.000892,0.000892
94,121804,1.02798,0.40022,1.33025,0.98244,0.93713,0.96754,0.69043,1.0984,0.41239,1.38472,0.000793,0.000793,0.000793
95,123073,1.02362,0.39758,1.32549,0.98417,0.93454,0.96742,0.6905,1.09787,0.41305,1.38437,0.000694,0.000694,0.000694
